"y","id","line","treat"
99.4949217889217,1,"MO001","Control"
96.3075476250652,1,"MO001","Control"
92.7960940947777,1,"MO001","Control"
97.3229546792136,1,"MO001","Control"
98.6622052810799,2,"MO001","Control"
92.8972434138419,2,"MO001","Control"
100.442934491482,2,"MO001","Control"
92.3760247291251,2,"MO001","Control"
98.673234599544,3,"MO001","Control"
99.5838655931009,3,"MO001","Control"
103.944009118791,3,"MO001","Control"
101.533651960443,3,"MO001","Control"
97.624703271486,4,"MO001","Control"
101.775750641932,4,"MO001","Control"
97.3736289940618,4,"MO001","Control"
NA,4,"MO001","Control"
107.695220564748,5,"MO001","EOD-FR"
99.7611815440987,5,"MO001","EOD-FR"
105.012525345979,5,"MO001","EOD-FR"
NA,5,"MO001","EOD-FR"
104.395840125397,6,"MO001","EOD-FR"
104.342197063845,6,"MO001","EOD-FR"
NA,6,"MO001","EOD-FR"
NA,6,"MO001","EOD-FR"
113.563231126669,7,"MO001","EOD-FR"
106.261818262254,7,"MO001","EOD-FR"
106.223111873354,7,"MO001","EOD-FR"
103.727475168942,7,"MO001","EOD-FR"
98.6148758292476,8,"MO001","EOD-FR"
104.312773869177,8,"MO001","EOD-FR"
103.829962354309,8,"MO001","EOD-FR"
NA,8,"MO001","EOD-FR"
43.0032281876813,9,"MO005","Control"
54.6995727189947,9,"MO005","Control"
49.9045802559043,9,"MO005","Control"
46.8451051151254,9,"MO005","Control"
47.1203135340273,10,"MO005","Control"
43.3007659358206,10,"MO005","Control"
52.5704133610187,10,"MO005","Control"
49.5405996019423,10,"MO005","Control"
52.0043028517542,11,"MO005","Control"
60.5290976788723,11,"MO005","Control"
54.6357954148068,11,"MO005","Control"
54.6633095168467,11,"MO005","Control"
53.17143637556,12,"MO005","Control"
48.5990092709437,12,"MO005","Control"
50.2070959799711,12,"MO005","Control"
48.0852685085207,12,"MO005","Control"
56.8899890398373,13,"MO005","EOD-FR"
60.9784228650149,13,"MO005","EOD-FR"
59.3628553025174,13,"MO005","EOD-FR"
61.4698596643246,13,"MO005","EOD-FR"
54.4384907103007,14,"MO005","EOD-FR"
62.6837259417083,14,"MO005","EOD-FR"
56.552303159399,14,"MO005","EOD-FR"
NA,14,"MO005","EOD-FR"
